,set_number,start_date,end_date,start_latitude,start_longitude,end_latitude,end_longitude,id
39,40,2023-06-21 09:53:14+00:00,2023-06-22 09:37:26+00:00,46.82328783333333,-64.3067255,46.823377666666666,-64.30628916666667,383
40,41,2023-06-21 10:03:03+00:00,2023-06-22 09:46:36+00:00,46.80114916666667,-64.3373855,46.801306833333335,-64.33703683333333,384
41,42,2023-06-21 10:12:20+00:00,2023-06-22 09:57:00+00:00,46.78073,-64.36692883333333,46.780936833333335,-64.3663395,385
42,43,2023-06-21 10:21:47+00:00,2023-06-22 10:06:02+00:00,46.758851500000006,-64.39891916666667,46.7589755,-64.39883783333333,386
43,44,2023-06-21 10:31:22+00:00,2023-06-22 10:17:40+00:00,46.780752666666665,-64.42803816666667,46.7811705,-64.428102,387
44,45,2023-06-21 10:40:04+00:00,2023-06-22 10:28:03+00:00,46.801164666666665,-64.3989345,46.801162999999995,-64.39855433333334,388
45,46,2023-06-21 10:49:07+00:00,2023-06-22 10:37:28+00:00,46.822863166666664,-64.36826183333334,46.8231555,-64.36780866666666,389
46,47,2023-06-21 10:57:08+00:00,2023-06-22 10:48:14+00:00,46.84331983333333,-64.339418,46.8436275,-64.33935016666666,390
47,48,2023-06-21 11:05:46+00:00,2023-06-22 10:58:24+00:00,46.865072,-64.30743483333333,46.865201166666665,-64.30704933333334,391
48,49,2023-06-21 11:14:13+00:00,2023-06-22 11:07:11+00:00,46.885072,-64.27875466666667,46.885432333333334,-64.27845333333333,392
49,50,2023-06-21 11:22:57+00:00,2023-06-22 11:16:41+00:00,46.906761,-64.3087685,46.90713016666667,-64.30864716666666,393
50,51,2023-06-21 11:31:38+00:00,2023-06-22 11:25:02+00:00,46.8843975,-64.339347,0.0,-0.0,394
51,52,2023-06-21 11:39:32+00:00,2023-06-22 11:34:08+00:00,46.865221,-64.36625616666667,46.86525316666667,-64.36582666666666,395
52,53,2023-06-21 11:49:51+00:00,2023-06-22 11:43:45+00:00,46.842127166666664,-64.398327,46.84229916666667,-64.39829966666667,396
53,54,2023-06-21 11:58:08+00:00,2023-06-22 11:52:13+00:00,46.8222395,-64.427487,46.82185883333333,-64.427493,397
54,55,2023-06-21 12:08:00+00:00,2023-06-22 12:00:49+00:00,46.79983766666667,-64.46042516666667,46.79942116666667,-64.460444,398
55,56,2023-06-21 12:16:59+00:00,2023-06-22 12:09:15+00:00,46.82078383333333,-64.49006016666667,46.820387333333336,-64.490147,399
56,57,2023-06-21 12:27:10+00:00,2023-06-22 12:18:49+00:00,46.84153083333333,-64.46068,46.841234,-64.460723,400
57,58,2023-06-21 12:36:46+00:00,2023-06-22 12:28:21+00:00,46.86423883333333,-64.42877866666667,46.86393116666667,-64.42888933333333,401
58,59,2023-06-21 12:44:57+00:00,2023-06-22 12:37:01+00:00,46.8836175,-64.40121233333333,46.883424833333336,-64.40120433333334,402
59,60,2023-06-21 12:53:45+00:00,2023-06-22 12:45:58+00:00,46.9063075,-64.3694005,46.90610383333333,-64.369568,403
60,61,2023-06-21 13:02:13+00:00,2023-06-22 12:55:18+00:00,46.92587783333333,-64.341168,46.925685333333334,-64.34128933333334,404
61,62,2023-06-21 13:14:01+00:00,2023-06-22 13:07:19+00:00,46.92515183333333,-64.40110833333334,46.924903,-64.40120483333334,405
62,63,2023-06-21 13:22:25+00:00,2023-06-22 13:15:26+00:00,46.904923833333335,-64.43077683333334,46.904659333333335,-64.430844,406
63,64,2023-06-21 13:32:15+00:00,2023-06-22 13:24:41+00:00,46.883225333333336,-64.46025366666667,46.88276366666667,-64.46026233333333,407
64,65,2023-06-21 13:41:05+00:00,2023-06-22 13:33:54+00:00,46.86270916666667,-64.490831,46.86223416666667,-64.4907335,408
65,66,2023-06-21 13:49:53+00:00,2023-06-22 13:42:16+00:00,46.84076766666667,-64.52217633333333,46.840246666666665,-64.52210833333334,409
66,67,2023-06-21 13:58:59+00:00,2023-06-22 13:57:02+00:00,46.86249600000001,-64.55111533333333,46.862014,-64.55117266666667,410
67,68,2023-06-21 14:07:05+00:00,2023-06-22 14:05:24+00:00,46.8825515,-64.52302866666666,46.88214683333334,-64.52307666666667,411
68,69,2023-06-21 14:16:48+00:00,2023-06-22 14:14:36+00:00,46.9051755,-64.49095316666667,46.904903833333336,-64.49117416666667,412
69,70,2023-06-21 14:26:27+00:00,2023-06-22 14:22:50+00:00,46.92494883333333,-64.46270666666666,46.92473366666667,-64.46298033333333,413
70,71,2023-06-21 14:39:15+00:00,2023-06-22 14:33:46+00:00,46.94742333333333,-64.43058716666667,46.94722266666667,-64.43090866666667,414
71,72,2023-06-21 14:52:01+00:00,2023-06-22 14:46:53+00:00,46.94604283333334,-64.49223633333334,46.94561516666667,-64.49264483333333,415
72,73,2023-06-21 15:02:10+00:00,2023-06-22 14:55:18+00:00,46.924585,-64.52278366666667,46.92412233333334,-64.523146,416
73,74,2023-06-21 15:10:27+00:00,2023-06-22 15:04:43+00:00,46.90367483333333,-64.55150866666666,46.903171666666665,-64.551502,417
74,75,2023-06-22 09:34:20+00:00,2023-06-23 09:22:50+00:00,46.83409233333333,-64.2921305,46.866251166666665,-64.24546583333333,422
75,76,2023-06-22 09:30:38+00:00,2023-06-23 09:32:56+00:00,46.843098499999996,-64.27743483333333,46.843371166666664,-64.2773575,423
76,77,2023-06-22 09:38:57+00:00,2023-06-23 09:42:46+00:00,46.823456,-64.30613416666667,46.823742833333334,-64.30586,424
77,78,2023-06-22 09:48:13+00:00,2023-06-23 09:53:55+00:00,46.80120483333334,-64.33689533333333,46.801302166666666,-64.33674766666667,425
78,79,2023-06-22 09:58:16+00:00,2023-06-23 10:04:26+00:00,46.780841833333334,-64.36606016666667,46.78091283333333,-64.36591733333333,426
79,80,2023-06-22 10:07:37+00:00,2023-06-23 10:15:29+00:00,46.758889833333335,-64.39869033333333,46.759156,-64.3985195,427
80,81,2023-06-22 10:19:11+00:00,2023-06-23 10:27:47+00:00,46.78107016666666,-64.42763233333334,46.781415333333335,-64.4275565,428
81,82,2023-06-22 10:29:23+00:00,2023-06-23 10:36:50+00:00,46.80135416666667,-64.3985165,46.80152616666667,-64.39816883333333,429
82,83,2023-06-22 10:38:51+00:00,2023-06-23 10:46:10+00:00,46.823076,-64.3676125,46.8233395,-64.36738383333334,430
83,84,2023-06-22 10:49:29+00:00,2023-06-23 10:55:25+00:00,46.84349,-64.33927966666667,46.84394266666666,-64.33900133333333,431
84,85,2023-06-22 10:59:24+00:00,2023-06-23 11:04:11+00:00,46.865092,-64.30719116666667,46.865573,-64.30686283333333,432
85,86,2023-06-22 11:07:56+00:00,2023-06-23 11:13:04+00:00,46.8853035,-64.27834216666666,46.88580966666667,-64.27795066666667,433
86,87,2023-06-22 11:17:39+00:00,2023-06-23 11:22:56+00:00,46.90695033333334,-64.30857516666667,46.906961333333335,-64.30851883333334,434
87,88,2023-06-22 11:26:04+00:00,2023-06-23 11:33:04+00:00,46.88440666666666,-64.338856,46.8844095,-64.33853166666667,435
88,89,2023-06-22 11:34:52+00:00,2023-06-23 11:42:12+00:00,46.864948166666665,-64.366204,46.864836333333336,-64.36602916666666,436
89,90,2023-06-22 11:44:13+00:00,2023-06-23 11:51:26+00:00,46.842285333333336,-64.39818566666666,46.84171083333333,-64.39862316666667,437
90,91,2023-06-22 11:52:57+00:00,2023-06-23 12:01:02+00:00,0.0,-0.0,46.821675666666664,-64.4277015,438
91,92,2023-06-22 12:01:45+00:00,2023-06-23 12:10:04+00:00,46.799592,-64.46054083333334,46.79948616666667,-64.46164466666667,439
92,93,2023-06-22 12:10:12+00:00,2023-06-23 12:19:06+00:00,46.82050916666667,-64.49018316666667,46.82030816666666,-64.49056533333334,440
93,94,2023-06-22 12:19:36+00:00,2023-06-23 12:27:44+00:00,46.84133966666667,-64.46076966666666,46.84119283333334,-64.46089233333333,441
94,95,2023-06-22 12:29:11+00:00,2023-06-23 12:36:46+00:00,46.86402116666667,-64.42884883333333,46.86383766666667,-64.42901616666667,442
95,96,2023-06-22 12:37:43+00:00,2023-06-23 12:45:06+00:00,46.8835055,-64.4012655,46.883551999999995,-64.40141883333334,443
96,97,2023-06-22 12:47:00+00:00,2023-06-23 12:56:12+00:00,46.906215333333336,-64.3695285,46.9062675,-64.36917016666666,444
97,98,2023-06-22 12:56:21+00:00,2023-06-23 13:06:36+00:00,46.9259605,-64.34134483333334,46.925583333333336,-64.34228266666666,445
98,99,2023-06-22 13:08:09+00:00,2023-06-23 13:18:02+00:00,46.924994166666664,-64.4011825,46.92448916666667,-64.40103916666666,446
99,100,2023-06-22 13:16:32+00:00,2023-06-23 13:26:44+00:00,46.90475033333333,-64.43092233333333,46.90404383333333,-64.43096966666667,447
100,101,2023-06-22 13:25:43+00:00,2023-06-23 13:36:21+00:00,46.882932000000004,-64.46021616666667,46.88248683333333,-64.46026816666667,448
101,102,2023-06-22 13:34:48+00:00,2023-06-23 13:46:17+00:00,46.86224583333333,-64.49073633333333,46.861266,-64.49181533333334,449
102,103,2023-06-22 13:43:31+00:00,2023-06-23 13:55:20+00:00,46.8404245,-64.522372,46.8400415,-64.52253116666667,450
103,104,2023-06-22 13:57:50+00:00,2023-06-23 14:03:47+00:00,46.862083166666665,-64.55131033333333,46.86202516666667,-64.551477,451
104,105,2023-06-22 14:06:33+00:00,2023-06-23 14:12:41+00:00,46.88223816666667,-64.5231735,46.88227966666667,-64.5230005,452
105,106,2023-06-22 14:15:40+00:00,2023-06-23 14:22:17+00:00,46.90506116666667,-64.49124283333333,46.905133666666664,-64.49094383333333,453
106,107,2023-06-22 14:23:44+00:00,2023-06-23 14:31:07+00:00,46.92473166666666,-64.46296,46.92447,-64.4630455,454
107,108,2023-06-22 14:34:29+00:00,2023-06-23 14:41:40+00:00,46.947286166666665,-64.43095416666667,46.946791,-64.43221183333333,455
108,109,2023-06-22 14:47:36+00:00,2023-06-23 14:53:03+00:00,46.945696500000004,-64.492601,46.9453475,-64.49313266666667,456
