id,cruise,set_number,new_station,experiment_type,shrimp_management,light_intensity,start_date,start_latitude_DD,start_latitude_MMmm,start_longitude_DD,start_longitude_MMmm,start_depth_m,end_date,end_latitude_DD,end_latitude_MMmm,end_longitude_DD,end_longitude_MMmm,end_depth_m,bridge,recorder,remarks,gear_type,auxiliary_equipment,trawl_retention_cable,trawl_cable_length,trawl_opening,port_warp,starboard_warp,warp_units_code,ship_direction,ship_speed,ship_speed_obtained_code,distance_towed,distance_towed_obtained_code,trawling_unit,shrimp_fishing_unit,set_duration,set_result,barometer,air_temperature_celsius,cloud_coverage_code,precipitation,weather_code,sea_code,swell_height_code,swell_period,wave_period,swell_direction,wave_height,wind_direction_degree,wind_direction_code,wind_force_kts,wind_force_code,tide_direction_code,is_opened,is_active,duration,track_distance,crow_distance,creation_date,created_by,last_modified_date,last_modified_by,cruise_id,new_station_id,experiment_type_id,shrimp_management_id,light_intensity_id,gear_type_id,auxiliary_equipment_id,set_result_id,swell_period_id,wave_period_id,created_by_id,last_modified_by_id
121,2021 Gulf Region Ecosystem Survey (TEL-2021-221),11,Station 013 (Primary) || Stratum 415,1 - Stratified random survey set,,4 - dark,2021-08-30 02:35:44+00:00,48,57.56489999999985,-63,56.966699999999946,272.0,2021-08-30 03:06:07+00:00,48,59.072000000000116,-63,58.37339999999995,281.0,Clifford Combden,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,790,790,1,328,3.5,4,1.77,4,,,,1 - NORMAL - No damage to gear,1017.0,16.1,6,,3,1,1,,,,,193.0,6,13.0,5,3,False,False,30.38,1.76,1.77,2021-08-29 21:07:37.063000+00:00,dan,2021-08-30 07:34:57.540000+00:00,teleost_bridge,15,1793,1,,1,1,3,1,,,13,33
122,2021 Gulf Region Ecosystem Survey (TEL-2021-221),12,Station 014 (Primary) || Stratum 415,1 - Stratified random survey set,,4 - dark,2021-08-30 07:13:18+00:00,49,5.596100000000206,-63,53.608799999999974,360.0,2021-08-30 07:43:44+00:00,49,6.438500000000204,-63,55.9345000000003,358.0,Clifford Combden,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,988,988,1,293,3.5,4,1.75,4,,,,1 - NORMAL - No damage to gear,1013.0,16.7,6,,3,1,1,,,,,170.0,6,13.8,5,3,False,False,30.43,1.73,1.74,2021-08-29 21:07:41.845000+00:00,dan,2021-09-02 07:32:36.719000+00:00,teleost_bridge,15,1794,1,,1,1,3,1,,,13,33
123,2021 Gulf Region Ecosystem Survey (TEL-2021-221),13,Station 015 (Primary) || Stratum 415,1 - Stratified random survey set,,9 - bright sunlight,2021-08-30 10:46:53+00:00,49,2.8371000000001914,-63,48.009700000000066,350.0,2021-08-30 11:18:52+00:00,49,2.4587000000001353,-63,45.316100000000006,346.0,Clifford Combden,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,953,953,1,113,3.5,4,1.75,4,,,,1 - NORMAL - No damage to gear,1012.0,16.7,6,,3,1,1,,,,,170.0,6,15.0,5,1,False,False,31.98,1.81,1.81,2021-08-29 22:22:00.772000+00:00,dan,2021-09-06 03:02:23.018000+00:00,teleost_bridge,15,1795,1,,6,1,3,1,,,13,33
124,2021 Gulf Region Ecosystem Survey (TEL-2021-221),14,Station 016 (Primary) || Stratum 415,1 - Stratified random survey set,,,2021-08-30 13:19:00+00:00,48,53.79589999999962,-63,48.33680000000004,259.0,2021-08-30 13:50:16+00:00,48,53.38519999999971,-63,45.66899999999987,277.0,Clifford Combden,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,735,735,1,116,3.5,4,1.7,4,,,,1 - NORMAL - No damage to gear,1010.0,16.6,8,,3,1,1,,,,,191.0,6,18.0,6,,False,False,31.27,1.81,1.8,2021-08-29 22:22:05.944000+00:00,dan,2021-08-30 16:51:17.402000+00:00,teleost_bridge,15,1796,1,,,1,3,1,,,13,33
125,2021 Gulf Region Ecosystem Survey (TEL-2021-221),15,Station 027 (Primary) || Stratum 416,1 - Stratified random survey set,,9 - bright sunlight,2021-08-30 16:11:17+00:00,48,45.471000000000004,-63,38.989100000000235,167.0,2021-08-30 16:41:25+00:00,48,46.85089999999991,-63,40.49299999999994,172.0,Owen Power,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,510,510,1,317,3.5,4,1.7,4,,,,1 - NORMAL - No damage to gear,1008.0,17.0,8,,4,2,2,,,,,186.0,6,19.0,6,4,False,False,30.13,1.69,1.7,2021-08-30 14:06:11.523000+00:00,Janice,2021-09-06 03:29:37.348000+00:00,teleost_bridge,15,1807,1,,6,1,3,1,,,43,33
126,2021 Gulf Region Ecosystem Survey (TEL-2021-221),16,Station 018 (Primary) || Stratum 415,1 - Stratified random survey set,,9 - bright sunlight,2021-08-30 19:46:48+00:00,48,48.94820000000027,-63,26.048899999999776,251.0,2021-08-30 20:17:18+00:00,48,48.415700000000015,-63,23.595200000000204,260.0,Owen Power,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,728,728,1,115,3.5,4,-0.29,4,,,,1 - NORMAL - No damage to gear,1005.0,16.7,9,,26,3,3,,,,,184.0,6,20.0,6,4,False,False,30.5,1.7,1.7,2021-08-30 14:26:07.086000+00:00,Janice,2021-09-06 03:30:55.640000+00:00,teleost_bridge,15,1798,1,,6,1,3,1,,,43,33
127,2021 Gulf Region Ecosystem Survey (TEL-2021-221),17,Station 017 (Primary) || Stratum 415,1 - Stratified random survey set,,7 - overcast,2021-08-30 23:01:41+00:00,48,44.8429000000001,-63,24.766900000000078,182.0,2021-08-30 23:31:45+00:00,48,43.77150000000029,-63,22.788900000000012,192.0,Owen Power,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,571,571,1,124,3.5,4,1.77,4,,,,1 - NORMAL - No damage to gear,1002.0,16.2,10,,52,3,3,,,,,177.0,6,18.0,6,3,False,False,30.07,1.69,1.69,2021-08-30 14:26:11.692000+00:00,Janice,2021-09-06 03:25:51.349000+00:00,teleost_bridge,15,1797,1,,4,1,3,1,,,43,33
128,2021 Gulf Region Ecosystem Survey (TEL-2021-221),18,Station 019 (Primary) || Stratum 415,1 - Stratified random survey set,,4 - dark,2021-08-31 01:59:26+00:00,48,47.303899999999885,-63,13.573100000000068,307.0,2021-08-31 02:29:42+00:00,48,49.03720000000021,-63,13.853100000000268,320.0,Clifford Combden,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,876,876,1,358,3.5,4,1.76,4,,,,1 - NORMAL - No damage to gear,1001.0,17.0,9,,51,3,3,,,,,202.0,6,13.7,5,3,False,False,30.27,1.74,1.75,2021-08-30 14:26:15.890000+00:00,Janice,2021-09-06 02:58:08.516000+00:00,teleost_bridge,15,1799,1,,1,1,3,1,,,43,33
129,2021 Gulf Region Ecosystem Survey (TEL-2021-221),19,Station 088 (Primary) || Stratum 425,1 - Stratified random survey set,,4 - dark,2021-08-31 06:24:06+00:00,48,36.54989999999998,-62,59.75199999999995,330.0,2021-08-31 06:54:49+00:00,48,35.15169999999989,-62,58.01740000000018,339.0,Clifford Combden,Colette Sullivan,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,914,914,1,139,3.5,4,1.82,4,,,,1 - NORMAL - No damage to gear,1000.0,17.0,10,,46,3,3,,,,,247.0,7,13.5,5,3,False,False,30.72,1.8,1.81,2021-08-30 23:29:09.096000+00:00,dan,2021-09-06 03:06:30.123000+00:00,teleost_bridge,15,1868,1,,1,1,3,1,,,13,33
130,2021 Gulf Region Ecosystem Survey (TEL-2021-221),20,Station 089 (Primary w/ plankton) || Stratum 425,1 - Stratified random survey set,,,2021-08-31 09:47:30+00:00,48,26.549299999999675,-62,28.797199999999975,368.0,2021-08-31 10:18:04+00:00,48,26.078999999999724,-62,26.20769999999993,360.0,Clifford Combden,Ross Hefford,,9 - Western IIA trawl,2 - Rollers plus Codend only - no liners,,,,986,986,1,111,3.5,4,1.77,4,,,,1 - NORMAL - No damage to gear,1000.0,17.0,10,,29,1,1,,,,,235.0,7,7.0,4,,False,False,30.57,1.78,1.78,2021-08-30 23:29:27.445000+00:00,dan,2021-09-05 00:33:07.838000+00:00,teleost_bridge,15,1869,1,,,1,3,1,,,13,33
